    -7.62763     -7.55052     -7.42208      -7.2428     -7.01359     -6.73545     -6.40962     -6.03832     -5.62479     -5.17318     -4.68973     -4.18481     -3.67529     -3.18852     -2.76832     -2.47554      1.82324      2.23174      2.82692      3.53951      4.32096      5.14014      5.97512      6.80784      7.62214       8.4021      9.13101      9.79153      10.3658      10.8363       11.187      11.4045
    -7.62711        -7.55     -7.42156     -7.24227     -7.01307     -6.73493     -6.40911     -6.03781     -5.62427     -5.17267     -4.68922     -4.18431     -3.67479     -3.18801      -2.7678       -2.475      1.82317      2.23164      2.82677      3.53928      4.32064      5.13972      5.97458      6.80716      7.62132      8.40114       9.1299      9.79029      10.3645      10.8348      11.1854      11.4029
    -7.62554     -7.54843     -7.41998     -7.24071     -7.01151     -6.73338     -6.40756     -6.03627     -5.62274     -5.17114     -4.68771     -4.18281      -3.6733      -3.1865     -2.76623     -2.47337      1.82295      2.23134      2.82632      3.53861       4.3197      5.13845      5.97295      6.80513      7.61886      8.39824      9.12657      9.78655      10.3604      10.8305      11.1809      11.3982
    -7.62294     -7.54581     -7.41736     -7.23809     -7.00891     -6.73079     -6.40498      -6.0337     -5.62019      -5.1686     -4.68518     -4.18031     -3.67081     -3.18397     -2.76361     -2.47065      1.82258      2.23083      2.82555      3.53748      4.31811      5.13634      5.97023      6.80175      7.61476       8.3934      9.12101      9.78033      10.3536      10.8232      11.1733      11.3904
    -7.61928     -7.54214     -7.41369     -7.23443     -7.00526     -6.72716     -6.40137     -6.03011     -5.61661     -5.16504     -4.68165     -4.17682     -3.66732     -3.18043     -2.75995     -2.46685      1.82204       2.2301      2.82447      3.53588      4.31588      5.13337      5.96642        6.797      7.60902      8.38663      9.11322      9.77161      10.3441      10.8131      11.1627      11.3795
    -7.61457     -7.53742     -7.40897     -7.22973     -7.00058     -6.72249     -6.39673      -6.0255     -5.61202     -5.16046     -4.67711     -4.17232     -3.66283     -3.17587     -2.75524     -2.46197       1.8213      2.22913      2.82304       3.5338      4.31299      5.12953       5.9615      6.79089      7.60162      8.37792      9.10322      9.76042      10.3319      10.8001      11.1491      11.3654
    -7.60881     -7.53164     -7.40319     -7.22397     -6.99484     -6.71679     -6.39105     -6.01986     -5.60641     -5.15487     -4.67156     -4.16682     -3.65735      -3.1703     -2.74949     -2.45601      1.82035      2.22789      2.82126      3.53124      4.30944      5.12482      5.95548       6.7834      7.59257      8.36726      9.09098      9.74674       10.317      10.7842      11.1325      11.3483
    -7.60199     -7.52481     -7.39636     -7.21716     -6.98806     -6.71004     -6.38434     -6.01319     -5.59978     -5.14828     -4.66501     -4.16032     -3.65086     -3.16372     -2.74269     -2.44898      1.81914      2.22635       2.8191      3.52816      4.30521      5.11923      5.94832      6.77452      7.58186      8.35466      9.07653      9.73058      10.2994      10.7655      11.1128      11.3281
     -7.5941     -7.51691     -7.38847     -7.20929     -6.98024     -6.70225      -6.3766     -6.00551     -5.59214     -5.14067     -4.65745     -4.15283     -3.64337     -3.15612     -2.73485     -2.44088      1.81764      2.22449      2.81653      3.52455      4.30028      5.11273      5.94003      6.76425      7.56948      8.34011      9.05986      9.71195      10.2791      10.7439      11.0903      11.3049
    -7.58514     -7.50794     -7.37952     -7.20038     -6.97136     -6.69341     -6.36783      -5.9968     -5.58349     -5.13206      -4.6489     -4.14433     -3.63488      -3.1475     -2.72597      -2.4317      1.81582      2.22228      2.81354       3.5204      4.29463      5.10531      5.93058      6.75257      7.55541      8.32361      9.04096      9.69085      10.2562      10.7195      11.0647      11.2786
